,author_id,author_name
0,id26255845,тодибо
1,id175775472,FeelGood
2,id283147248,зажатый
3,id934334,тры
4,id135278152,Мурка
5,id33742928,Нестер Пим
7,id177004332,НиРо
8,id469121643,данилова
9,id424689723,тебе товарищ
10,id2879084,ветер
11,id62713287,икигаев
13,id756239005,Nilpferd
14,id474308887,Bartos
15,id4698268,H_N
16,id23406183,Znake
17,id86266677,Муля
18,id295720043,Хобот Точный
21,id76088373,Якатюня
22,id28045574,сафо
24,id518486209,Niloff
25,id1030076,SSebastian
26,id2835881,Вороныч
28,id21423356,Ольга Ступина
32,id503055,Олег Олег
33,id12408983,zrbvjd
34,id379749796,zhigaltcev
35,id420706986,андро
39,id437426633,KadroviCHka72
40,id69212039,MirnyAtom
41,id185560686,froval
43,id173348123,solo
46,id219036687,ВиЛюров
47,id1966033,раз раз_
50,id258074097,dkrut
52,id14896847,АМ
53,id327338264,кум
54,id80365260,Хм
57,id142958127,masia
68,id17016148,zub
69,id255421518,keylocker
70,id286329959,никакич
79,id555340289,умба
82,id27471152,Beatle
83,id334533,ДПС
89,id117808429,Пиль
91,id73327980,ЮГ
92,id787798,YaP
95,id224756162,ленкова
98,id127950387,арчи бальчи
100,id211694060,Мел
102,id2819482,elvira
110,id173256586,Слава
119,id11521023,metafola
123,id278202045,СапсанOff
124,id459539732,INNI
125,id231367142,румянцев
126,id18068651,seaL
130,id1026317,Неусита
131,id310764,intelleon
132,id96203189,boroda
133,id51369829,МаринК
135,id9151730,LP
138,id36264884,B0JI
142,id441500094,volga
171,id3854625,Nuta
206,id580246834,silakrыbak
227,id232550424,лыжа
277,id439201098,андерс
281,id111500278,crazy_grant
299,id98204510,Р_Н
311,id232637343,журкова
326,id31696519,iLTi
336,id359969068,витал
338,id710945082,сороконожка
364,id43431819,oless
371,id1617917,stakhanoff
380,id73060277,BredoeD
388,id7103891,Тумми
400,id312266186,ЯД
427,id83280353,iXtiandbIr
430,club49562992,абэ
440,id4548210,Дей
442,id41040807,Анатолий Баклагов
447,id22303432,Митрий
455,id65987,filipolya
461,id1135700,Каркас
511,id104783850,shumolechka
527,id184439531,∀кын
556,id4645459,kalmagloster
568,https://vk.com/olessius,oless
587,id211052895,YanaKrilova
612,id19670347,соловей
634,id12697686,bu6lik
695,id44723492,Azov
698,id117847950,Л.М.
704,id39157198,Гут
707,id36655427,Hippy
710,id4394108,bro
718,id88227152,kofeIN
721,id10514597,zuboskalka
724,id1632378,igoreвна
730,id52573451,дядюшКаа
733,id115585561,better days
736,id633988867,ленкорист
739,id6606087,СонОр
748,id173536603,пошлый аку-аку
749,id471559780,ОК
754,id305314971,amico
757,id151526030,Алексай
842,id173632990,Пан
861,id15992276,горобец
867,id382668188,valnaya
876,id614071198,очень грустное пальто
888,id505704584,как_кто
898,id9582779,мюс
900,id1768789,djfedos
929,id13027882,polya
932,id2018978,Идиот
942,id1338470,Chrinstinct
954,id397261542,МаГ
957,id256279980,Волк
965,id629178947,Парарурам
969,id58734,Affernus
984,id174469504,burunduk
988,id560983836,lesarь
989,id3080786,колик
994,id543476089,тебе товарищ
998,id313552619,ВайшуМайт
1028,id3094855,Dzairs_Anabis
1029,id298786950,дыщдыщ
1030,id184438927,южанова
1033,id62337489,Андрей Валерьевич
1036,id33194223,света-конфета
